kidney_cell_id,egfr_category,uacr_category,frozen_evidence_status,scientific_reason_class,publication_display_class,reason_hierarchy_precedence,suppression_source,deterministic,prevalence_used_to_define_reason
G0_LT15__A0_LT30,G0_LT15,A0_LT30,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,NO_DIRECT,SUPPRESSED,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing suppression flag for G0_LT15__A0_LT30,YES,NO
G0_LT15__A1_30_LE100,G0_LT15,A1_30_LE100,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,NO_DIRECT,SUPPRESSED,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing suppression flag for G0_LT15__A1_30_LE100,YES,NO
G0_LT15__A2_GT100_LE300,G0_LT15,A2_GT100_LE300,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,NO_DIRECT,NO_DIRECT,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G0_LT15__A3_GT300_LT5000,G0_LT15,A3_GT300_LT5000,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,NO_DIRECT,NO_DIRECT,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G0_LT15__A4_GE5000,G0_LT15,A4_GE5000,NO_DIRECT_COMPLETED_DOMAIN_REPRESENTATION,NO_DIRECT,NO_DIRECT,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G1_15_LT25__A0_LT30,G1_15_LT25,A0_LT30,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_EGFR_15_TO_LT25,CONDITIONAL_REASON_EGFR_15_TO_LT25,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G1_15_LT25__A1_30_LE100,G1_15_LT25,A1_30_LE100,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_EGFR_15_TO_LT25,SUPPRESSED,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing suppression flag for G1_15_LT25__A1_30_LE100,YES,NO
G1_15_LT25__A2_GT100_LE300,G1_15_LT25,A2_GT100_LE300,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_EGFR_15_TO_LT25,CONDITIONAL_REASON_EGFR_15_TO_LT25,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G1_15_LT25__A3_GT300_LT5000,G1_15_LT25,A3_GT300_LT5000,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_EGFR_15_TO_LT25,CONDITIONAL_REASON_EGFR_15_TO_LT25,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
G1_15_LT25__A4_GE5000,G1_15_LT25,A4_GE5000,CONDITIONAL_DOMAIN_REPRESENTATION,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,CONDITIONAL_REASON_UACR_AT_OR_ABOVE_5000,frozen no-direct/direct > UACR≥5000 > eGFR15–<25 > eGFR>75 with CKD marker > below branch-specific albuminuria threshold,outputs/phase1_execution/restarted_after_source_relock/estimates/PHASE1_PHENOTYPE_CELL_ESTIMATES.csv: existing unsuppressed display status,YES,NO
