trial,branch_id,criterion_id,criterion_role,role_justification,observability_class,NHANES_release,NHANES_variable,coding_valid_values,missing_unresolved_coding,used_in_current_mapping,proxy_information_loss,proxy_acceptance_for_direct,proxy_direct_boundary,unavailable_reason,source_provenance,source_phenotype_precedes_observability
ELIXA,ELIXA-B1,ELIXA-AGE30,CORE_NECESSARY,Common population requirement.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥30; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01147250; manuscript reference [21],YES
ELIXA,ELIXA-B1,ELIXA-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01147250; manuscript reference [21],YES
ELIXA,ELIXA-B1,ELIXA-RECENT_ACS,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,"NHANES records lifetime CHD/MI/stroke responses but does not reconstruct ACS admission, biomarkers, or the 180-day event window.",ClinicalTrials.gov NCT01147250; manuscript reference [21],YES
LEADER,LEADER-B1,LEADER-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B1,LEADER-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B1,LEADER-ASCVD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,PROXY_OBSERVABLE,2017–March 2020,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.,,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B1-OTHER-CVD,LEADER-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B1-OTHER-CVD,LEADER-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B1-OTHER-CVD,LEADER-CVD-RESIDUAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The broad cardiovascular-disease wording is not exhausted by the specified CHD/MI/stroke proxy.,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
LEADER,LEADER-B1-PVD,LEADER-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01179048; manuscript reference [1],YES
