trial,branch_id,branch_description,core_required_criteria,branch_defining_criteria,structural_unavailable_features,participant_missingness_sensitive_features,direct_possible yes/no,potential_possible yes/no,not_aligned_possible yes/no,indeterminate_possible yes/no,operator_within_branch,operator_between_trial_branches,source_phenotype_precedes_observability
ELIXA,ELIXA-B1,Recent acute coronary syndrome,ELIXA-AGE30;ELIXA-T2D,ELIXA-RECENT_ACS,ELIXA-RECENT_ACS,ELIXA-AGE30;ELIXA-T2D,NO,YES,YES,YES,AND,OR,YES
LEADER,LEADER-B1,Age ≥50 with observable coronary/cerebrovascular component,LEADER-T2D,LEADER-AGE50;LEADER-ASCVD,,LEADER-T2D;LEADER-AGE50;LEADER-ASCVD,YES,NO,YES,YES,AND,OR,YES
LEADER,LEADER-B1-OTHER-CVD,Age ≥50 with other source-defined cardiovascular disease,LEADER-T2D,LEADER-AGE50;LEADER-CVD-RESIDUAL,LEADER-CVD-RESIDUAL,LEADER-T2D;LEADER-AGE50,NO,YES,YES,YES,AND,OR,YES
LEADER,LEADER-B1-PVD,Age ≥50 with peripheral vascular disease,LEADER-T2D,LEADER-AGE50;LEADER-PVD,LEADER-PVD,LEADER-T2D;LEADER-AGE50,NO,YES,YES,YES,AND,OR,YES
LEADER,LEADER-B2,Age ≥50 with chronic renal failure,LEADER-T2D,LEADER-AGE50;LEADER-CRF,LEADER-CRF,LEADER-T2D;LEADER-AGE50,NO,YES,YES,YES,AND,OR,YES
LEADER,LEADER-B3,Age ≥50 with chronic heart failure,LEADER-T2D,LEADER-AGE50;LEADER-HF,LEADER-HF,LEADER-T2D;LEADER-AGE50,NO,YES,YES,YES,AND,OR,YES
LEADER,LEADER-B4,Age ≥60 with specified cardiovascular risk factors,LEADER-T2D,LEADER-AGE60;LEADER-RISK,LEADER-RISK,LEADER-T2D;LEADER-AGE60,NO,YES,YES,YES,AND,OR,YES
SUSTAIN-6,SUSTAIN6-B1,Age ≥50 with observable component of clinical cardiovascular disease,SUSTAIN-6-T2D,SUSTAIN-6-AGE50;SUSTAIN-6-ASCVD,,SUSTAIN-6-T2D;SUSTAIN-6-AGE50;SUSTAIN-6-ASCVD,YES,NO,YES,YES,AND,OR,YES
SUSTAIN-6,SUSTAIN6-B1-RESIDUAL,Age ≥50 with residual source-defined clinical cardiovascular disease,SUSTAIN-6-T2D,SUSTAIN-6-AGE50;SUSTAIN-6-CVD-RESIDUAL,SUSTAIN-6-CVD-RESIDUAL,SUSTAIN-6-T2D;SUSTAIN-6-AGE50,NO,YES,YES,YES,AND,OR,YES
SUSTAIN-6,SUSTAIN6-B2,Age ≥50 with trial-defined CKD,SUSTAIN-6-T2D,SUSTAIN-6-AGE50;SUSTAIN-6-CKD,SUSTAIN-6-CKD,SUSTAIN-6-T2D;SUSTAIN-6-AGE50,NO,YES,YES,YES,AND,OR,YES
SUSTAIN-6,SUSTAIN6-B3,Age ≥60 with subclinical cardiovascular risk,SUSTAIN-6-T2D,SUSTAIN-6-AGE60;SUSTAIN-6-SUBCLINICAL,SUSTAIN-6-SUBCLINICAL,SUSTAIN-6-T2D;SUSTAIN-6-AGE60,NO,YES,YES,YES,AND,OR,YES
EXSCEL,EXSCEL-B1,Broad T2D cardiovascular-risk spectrum,EXSCEL-AGE18;EXSCEL-T2D,,,EXSCEL-AGE18;EXSCEL-T2D,YES,NO,YES,YES,AND,OR,YES
HARMONY Outcomes,HARMONY-B1,Established coronary/cerebrovascular disease,HARMONY Outcomes-AGE40;HARMONY Outcomes-T2D,HARMONY Outcomes-ASCVD,,HARMONY Outcomes-AGE40;HARMONY Outcomes-T2D;HARMONY Outcomes-ASCVD,YES,NO,YES,YES,AND,OR,YES
HARMONY Outcomes,HARMONY-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,HARMONY Outcomes-AGE40;HARMONY Outcomes-T2D,HARMONY Outcomes-CVD-RESIDUAL,HARMONY Outcomes-CVD-RESIDUAL,HARMONY Outcomes-AGE40;HARMONY Outcomes-T2D,NO,YES,YES,YES,AND,OR,YES
HARMONY Outcomes,HARMONY-B2,Established peripheral arterial disease,HARMONY Outcomes-AGE40;HARMONY Outcomes-T2D,HARMONY Outcomes-PAD,HARMONY Outcomes-PAD,HARMONY Outcomes-AGE40;HARMONY Outcomes-T2D,NO,YES,YES,YES,AND,OR,YES
PIONEER 6,PIONEER6-B1,Age ≥50 with observable component of cardiovascular disease,PIONEER 6-T2D,PIONEER 6-AGE50;PIONEER 6-ASCVD,,PIONEER 6-T2D;PIONEER 6-AGE50;PIONEER 6-ASCVD,YES,NO,YES,YES,AND,OR,YES
PIONEER 6,PIONEER6-B1-RESIDUAL,Age ≥50 with residual source-defined cardiovascular disease,PIONEER 6-T2D,PIONEER 6-AGE50;PIONEER 6-CVD-RESIDUAL,PIONEER 6-CVD-RESIDUAL,PIONEER 6-T2D;PIONEER 6-AGE50,NO,YES,YES,YES,AND,OR,YES
PIONEER 6,PIONEER6-B2,Age ≥50 with trial-defined CKD,PIONEER 6-T2D,PIONEER 6-AGE50;PIONEER 6-CKD,PIONEER 6-CKD,PIONEER 6-T2D;PIONEER 6-AGE50,NO,YES,YES,YES,AND,OR,YES
PIONEER 6,PIONEER6-B3,Age ≥60 with cardiovascular risk factor,PIONEER 6-T2D,PIONEER 6-AGE60;PIONEER 6-RISK,PIONEER 6-RISK,PIONEER 6-T2D;PIONEER 6-AGE60,NO,YES,YES,YES,AND,OR,YES
REWIND,REWIND-B1,Age ≥50 with observable component of established clinical vascular disease,REWIND-T2D,REWIND-AGE50;REWIND-ASCVD,,REWIND-T2D;REWIND-AGE50;REWIND-ASCVD,YES,NO,YES,YES,AND,OR,YES
REWIND,REWIND-B1-RESIDUAL,Age ≥50 with residual established clinical vascular disease,REWIND-T2D,REWIND-AGE50;REWIND-CVD-RESIDUAL,REWIND-CVD-RESIDUAL,REWIND-T2D;REWIND-AGE50,NO,YES,YES,YES,AND,OR,YES
REWIND,REWIND-B2,Age ≥55 with subclinical vascular disease,REWIND-T2D,REWIND-AGE55;REWIND-SUBCLINICAL,REWIND-SUBCLINICAL,REWIND-T2D;REWIND-AGE55,NO,YES,YES,YES,AND,OR,YES
REWIND,REWIND-B3,Age ≥60 with at least two cardiovascular risk factors,REWIND-T2D,REWIND-AGE60;REWIND-RISK2,REWIND-RISK2,REWIND-T2D;REWIND-AGE60,NO,YES,YES,YES,AND,OR,YES
AMPLITUDE-O,AMPLITUDEO-B1,Age ≥18 with observable component of cardiovascular disease,AMPLITUDE-O-T2D,AMPLITUDE-O-AGE18;AMPLITUDE-O-ASCVD,,AMPLITUDE-O-T2D;AMPLITUDE-O-AGE18;AMPLITUDE-O-ASCVD,YES,NO,YES,YES,AND,OR,YES
AMPLITUDE-O,AMPLITUDEO-B1-RESIDUAL,Age ≥18 with residual source-defined cardiovascular disease,AMPLITUDE-O-T2D,AMPLITUDE-O-AGE18;AMPLITUDE-O-CVD-RESIDUAL,AMPLITUDE-O-CVD-RESIDUAL,AMPLITUDE-O-T2D;AMPLITUDE-O-AGE18,NO,YES,YES,YES,AND,OR,YES
AMPLITUDE-O,AMPLITUDEO-B2,Sex-specific age with eGFR 25–<60 and cardiovascular risk factor,AMPLITUDE-O-T2D,AMPLITUDE-O-EGFR;AMPLITUDE-O-RISK;AMPLITUDE-O-SEXAGE,AMPLITUDE-O-RISK,AMPLITUDE-O-T2D;AMPLITUDE-O-EGFR;AMPLITUDE-O-SEXAGE,NO,YES,YES,YES,AND,OR,YES
SOUL,SOUL-B1,Established coronary/cerebrovascular disease,SOUL-AGE50;SOUL-T2D,SOUL-ASCVD,,SOUL-AGE50;SOUL-T2D;SOUL-ASCVD,YES,NO,YES,YES,AND,OR,YES
SOUL,SOUL-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,SOUL-AGE50;SOUL-T2D,SOUL-CVD-RESIDUAL,SOUL-CVD-RESIDUAL,SOUL-AGE50;SOUL-T2D,NO,YES,YES,YES,AND,OR,YES
SOUL,SOUL-B2,Established peripheral arterial disease,SOUL-AGE50;SOUL-T2D,SOUL-PAD,SOUL-PAD,SOUL-AGE50;SOUL-T2D,NO,YES,YES,YES,AND,OR,YES
SOUL,SOUL-B3,Chronic kidney disease,SOUL-AGE50;SOUL-T2D,SOUL-EGFR,,SOUL-AGE50;SOUL-T2D;SOUL-EGFR,YES,NO,YES,YES,AND,OR,YES
SURPASS-CVOT,SURPASSCVOT-B1,Established coronary/cerebrovascular disease,SURPASS-CVOT-AGE40;SURPASS-CVOT-BMI25;SURPASS-CVOT-T2D,SURPASS-CVOT-ASCVD,,SURPASS-CVOT-AGE40;SURPASS-CVOT-BMI25;SURPASS-CVOT-T2D;SURPASS-CVOT-ASCVD,YES,NO,YES,YES,AND,OR,YES
SURPASS-CVOT,SURPASSCVOT-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,SURPASS-CVOT-AGE40;SURPASS-CVOT-BMI25;SURPASS-CVOT-T2D,SURPASS-CVOT-CVD-RESIDUAL,SURPASS-CVOT-CVD-RESIDUAL,SURPASS-CVOT-AGE40;SURPASS-CVOT-BMI25;SURPASS-CVOT-T2D,NO,YES,YES,YES,AND,OR,YES
SURPASS-CVOT,SURPASSCVOT-B2,Established peripheral arterial disease,SURPASS-CVOT-AGE40;SURPASS-CVOT-BMI25;SURPASS-CVOT-T2D,SURPASS-CVOT-PAD,SURPASS-CVOT-PAD,SURPASS-CVOT-AGE40;SURPASS-CVOT-BMI25;SURPASS-CVOT-T2D,NO,YES,YES,YES,AND,OR,YES
