variable,module,unit,role,availability
SEQN,P_DEMO,identifier,join/audit only,VERIFIED_IN_GOVERNED_INTERFACE
RIDAGEYR,P_DEMO,years,frame/eGFR/subgroup,VERIFIED_IN_GOVERNED_INTERFACE
RIAGENDR,P_DEMO,coded,eGFR/sex descriptor,VERIFIED_IN_GOVERNED_INTERFACE
RIDRETH3,P_DEMO,coded,race/ethnicity descriptor; historical 2009 sensitivity,VERIFIED_IN_GOVERNED_INTERFACE
WTMECPRP,P_DEMO,weight,primary weight,VERIFIED_IN_GOVERNED_INTERFACE
WTINTPRP,P_DEMO,weight,S4 only,VERIFIED_IN_GOVERNED_INTERFACE
SDMVSTRA,P_DEMO,coded,strata,VERIFIED_IN_GOVERNED_INTERFACE
SDMVPSU,P_DEMO,coded,PSU,VERIFIED_IN_GOVERNED_INTERFACE
DIQ010,P_DIQ,coded,primary diabetes/targets,VERIFIED_IN_GOVERNED_INTERFACE
LBXGH,P_GHB,%,S1 only,VERIFIED_IN_GOVERNED_INTERFACE
BMXBMI,P_BMX,kg/m2,obesity target/SELECT,VERIFIED_IN_GOVERNED_INTERFACE
MCQ160C,P_MCQ,coded,primary ASCVD CHD,VERIFIED_IN_GOVERNED_INTERFACE
MCQ160D,P_MCQ,coded,S2 angina only,VERIFIED_IN_GOVERNED_INTERFACE
MCQ160E,P_MCQ,coded,primary ASCVD MI,VERIFIED_IN_GOVERNED_INTERFACE
MCQ160F,P_MCQ,coded,primary ASCVD stroke,VERIFIED_IN_GOVERNED_INTERFACE
LBXSCR,P_BIOPRO,mg/dL,eGFR input,VERIFIED_IN_GOVERNED_INTERFACE
URDACT,P_ALB_CR,mg/g,primary UACR,VERIFIED_IN_GOVERNED_INTERFACE
