trial,NCT,phenotype_branch_id,phenotype_branch_name,criterion_id,criterion_description,criterion_role,necessary_for_branch,source_type,source_citation_or_asset,exact_source_location,observability_class,nhanes_variable,nhanes_operational_definition,proxy_limitation,unavailable_reason,notes
ELIXA,NCT01147250,ELIXA-B1,Recent acute coronary syndrome,ELIXA-AGE30,Age ≥30 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01147250; manuscript reference [21],criterion_segment_id=NCT01147250-S012,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥30; missing/invalid unresolved.,,,Ever MI/CHD is not substituted for recent ACS.
ELIXA,NCT01147250,ELIXA-B1,Recent acute coronary syndrome,ELIXA-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01147250; manuscript reference [21],criterion_segment_id=NCT01147250-S007,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Ever MI/CHD is not substituted for recent ACS.
ELIXA,NCT01147250,ELIXA-B1,Recent acute coronary syndrome,ELIXA-RECENT_ACS,Spontaneous ACS within 180 days before screening,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01147250; manuscript reference [21],criterion_segment_id=NCT01147250-S004,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,"NHANES records lifetime CHD/MI/stroke responses but does not reconstruct ACS admission, biomarkers, or the 180-day event window.",Ever MI/CHD is not substituted for recent ACS.
LEADER,NCT01179048,LEADER-B1,Age ≥50 with observable coronary/cerebrovascular component,LEADER-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S005,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
LEADER,NCT01179048,LEADER-B1,Age ≥50 with observable coronary/cerebrovascular component,LEADER-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
LEADER,NCT01179048,LEADER-B1,Age ≥50 with observable coronary/cerebrovascular component,LEADER-ASCVD,Established coronary or cerebrovascular disease phenotype,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,PROXY_OBSERVABLE,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
LEADER,NCT01179048,LEADER-B1-OTHER-CVD,Age ≥50 with other source-defined cardiovascular disease,LEADER-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S005,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
LEADER,NCT01179048,LEADER-B1-OTHER-CVD,Age ≥50 with other source-defined cardiovascular disease,LEADER-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
LEADER,NCT01179048,LEADER-B1-OTHER-CVD,Age ≥50 with other source-defined cardiovascular disease,LEADER-CVD-RESIDUAL,Source-defined cardiovascular disease outside the specified CHD/MI/stroke proxy,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The broad cardiovascular-disease wording is not exhausted by the specified CHD/MI/stroke proxy.,source phenotype precedes NHANES observability.
LEADER,NCT01179048,LEADER-B1-PVD,Age ≥50 with peripheral vascular disease,LEADER-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S005,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
LEADER,NCT01179048,LEADER-B1-PVD,Age ≥50 with peripheral vascular disease,LEADER-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
LEADER,NCT01179048,LEADER-B1-PVD,Age ≥50 with peripheral vascular disease,LEADER-PVD,Source-defined peripheral vascular disease,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,No specified NHANES variable reproduces the source-defined peripheral vascular disease construct.,source phenotype precedes NHANES observability.
LEADER,NCT01179048,LEADER-B2,Age ≥50 with chronic renal failure,LEADER-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S005,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B2,Age ≥50 with chronic renal failure,LEADER-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B2,Age ≥50 with chronic renal failure,LEADER-CRF,Trial-defined chronic renal failure,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The available trial documentation did not support a reproducible operational threshold for the qualifying chronic-renal-failure construct.,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B3,Age ≥50 with chronic heart failure,LEADER-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S005,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B3,Age ≥50 with chronic heart failure,LEADER-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B3,Age ≥50 with chronic heart failure,LEADER-HF,Trial-defined chronic heart failure,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,No specified NHANES phenotype reproduces the trial-defining chronic-HF construct.,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B4,Age ≥60 with specified cardiovascular risk factors,LEADER-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S005,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B4,Age ≥60 with specified cardiovascular risk factors,LEADER-AGE60,Age ≥60 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,,,Alternative OR branch preserved.
LEADER,NCT01179048,LEADER-B4,Age ≥60 with specified cardiovascular risk factors,LEADER-RISK,Trial-specified cardiovascular risk-factor construct,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01179048; manuscript reference [1],criterion_segment_id=NCT01179048-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The available trial documentation did not specify the multivariable risk construct with sufficient detail for reproducible participant-level mapping.,Alternative OR branch preserved.
SUSTAIN-6,NCT01720446,SUSTAIN6-B1,Age ≥50 with observable component of clinical cardiovascular disease,SUSTAIN-6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
SUSTAIN-6,NCT01720446,SUSTAIN6-B1,Age ≥50 with observable component of clinical cardiovascular disease,SUSTAIN-6-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S003,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
SUSTAIN-6,NCT01720446,SUSTAIN6-B1,Age ≥50 with observable component of clinical cardiovascular disease,SUSTAIN-6-ASCVD,Established coronary or cerebrovascular disease phenotype,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01720446; manuscript reference [25],criterion_segment_id=NCT01720446-S003,PROXY_OBSERVABLE,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
